Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update
Zenon Bujarski,316380730,17.085,,215,WC 37,,Final,,,,-1,4,4.5,-1,-1,-1,-1.0,-1.0,4.5,-1.0,-1.0,-1.0,24.05.2023 boczny_obronca (90'),Polska,30.05.2023
Adam Krolewicz,326845356,17.019,,59,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,5.5,-1,-1,-1,-1.0,-1.0,5.5,-1.0,-1.0,-1.0,30.05.2023 boczny_obronca (90'),Polska,30.05.2023
Apoloniusz Kornat,318907625,18.016,,146,WC 36,32,World Cup - Round III  Matchday 1,02/08/2024,88,10,-1,-1,-1,-1,4.5,-1,-1.0,-1.0,-1.0,-1.0,4.5,-1.0,30.05.2023 skrzydlowy (90'),Polska,30.05.2023
Bonifacy Szpakowski,324098712,16.086,Q,76,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,3.5,-1,4,5.5,-1.0,-1.0,3.5,-1.0,4.0,5.5,25.04.2023 skrzydlowy (90'),Polska,30.05.2023
Damian Dzialkowski,317774421,17.105,,218,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,-1,-1,5,-1,6,-1,-1.0,-1.0,5.0,-1.0,6.0,-1.0,30.05.2023 skrzydlowy (90'),Polska,30.05.2023
Edgar Gradzki,323709423,16.061,,121,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,4,-1,4,-1,4.5,-1.0,-1.0,-1.0,4.0,-1.0,4.5,30.05.2023 pomocnik (90'),Polska,30.05.2023
Kazimierz Krzywkowski,321526853,17.031,,140,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,5,-1,-1,-1,1,-1,5.0,-1.0,-1.0,-1.0,1.0,-1.0,30.05.2023 bramkarz (90'),Polska,30.05.2023
Krzysztof Buhl,321676923,17.100,P,154,WC 36,38,World Cup - Round V  Matchday 1,30/08/2024,88,14,-1,5,-1,-1,-1,4,-1.0,5.0,-1.0,-1.0,-1.0,4.0,11.04.2023 napastnik (90'),Polska,30.05.2023
Krzysztof Kwintal,317774432,17.021,,222,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,1.5,2.5,3.5,2.5,-1,5,1.5,2.5,-1.0,-1.0,-1.0,5.0,30.05.2023 boczny_obronca (68'),Polska,30.05.2023
Kuba Wycichowski,318782717,16.109,H,132,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,5.5,5,3.5,-1,4,-1.0,5.5,5.0,-1.0,-1.0,-1.0,30.05.2023 stoper (90'),Polska,30.05.2023
