
"Walter Kieres,309131349,19.011,,298,WC 36,9,Continental Championship  Matchday 7,22/03/2024,87,7,-1,-1,-1,4.5,-1,7,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,08.02.2023 pomocnik (90'),Polska,05.05.2023"
"Wiktor Anton,306176334,19.002,,261,WC 36,10,Continental Championship  Matchday 8,29/03/2024,87,8,-1,5,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,08.02.2023 pomocnik (90'),Polska,05.05.2023"
"Zygmunt Smolarek,301251293,20.006,U,481,WC 36,,Final,,,,0.5,-1,-1,3,3.5,5,0.5,-1.0,-1.0,-1.0,3.5,-1.0,04.01.2023 bramkarz (90'),Polska,05.05.2023"
"Aleksander Gradalski,318931996,17.048,,184,WC 37,2,Friendly,27/09/2024,89,2,1,4,4.5,4.5,4.5,4.5,-1.0,4.0,4.5,4.5,-1.0,-1.0,03.05.2023 boczny_obronca (90'),Polska,05.05.2023"
"Bohdan Kawecki,318931990,16.081,P,184,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,2.5,3,3,3.5,4,-1.0,2.5,3.0,-1.0,3.5,-1.0,30.03.2023 skrzydlowy (90'),Polska,05.05.2023"
"Franciszek Zablotny,322053966,17.043,H,102,WC 37,2,Friendly,27/09/2024,89,2,-1,-1,2.5,4,3.5,4.5,-1.0,-1.0,2.5,-1.0,3.5,-1.0,26.04.2023 boczny_obronca (90'),Polska,05.05.2023"
"Gunter Braith,318931994,16.101,,184,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,3,3,4.5,3.5,3,-1.0,-1.0,-1.0,4.5,3.5,3.0,05.04.2023 skrzydlowy (90'),Polska,05.05.2023"
"Ireneusz Piwek,319094421,16.086,,54,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,4,-1,3.5,3.5,4,-1.0,4.0,-1.0,3.5,3.5,4.0,03.05.2023 stoper (90'),Polska,05.05.2023"
"Jaroslaw Piekarzewski,325326233,16.056,P,74,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,3.5,-1,3.5,-1,7.5,-1.0,-1.0,-1.0,3.5,-1.0,7.0,03.05.2023 napastnik (90'),Polska,05.05.2023"
"Jozef Mowlik,322071406,16.070,,95,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,2,-1,3,4,-1,-1.0,2.0,-1.0,-1.0,4.0,-1.0,05.04.2023 skrzydlowy (90'),Polska,05.05.2023"
"Jozef Piatkowski,316855619,17.023,Q,152,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,2.5,3,3,3.5,4,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,30.03.2023 napastnik (90'),Polska,05.05.2023"
"Maciej Kulawiak,318931991,17.041,T,184,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,0.5,1.5,1.5,2,2,5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,26.04.2023 stoper (61'),Polska,05.05.2023"
"Marcin Kisielinski,327403238,15.069,,19,WC 37,40,World Cup - Round V  Matchday 3,18/04/2025,90,15,-1,-1,-1,5,-1,2.5,-1.0,-1.0,-1.0,5.0,-1.0,2.5,03.05.2023 pomocnik (90'),Polska,05.05.2023"
"Marcin Kunce,323395879,16.042,,46,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,3.5,-1,-1,-1,-1,0.5,3.5,-1.0,-1.0,-1.0,-1.0,0.5,03.05.2023 bramkarz (90'),Polska,05.05.2023"
"Marek Hernes,323652583,16.071,,60,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,5,-1,6,-1,4,-1.0,5.0,-1.0,6.0,-1.0,4.0,03.05.2023 stoper (90'),Polska,05.05.2023"
"Marian Bodny,316406566,17.042,,130,WC 37,2,Friendly,27/09/2024,89,2,1.5,3.5,4,3,4,3.5,1.5,3.5,-1.0,-1.0,-1.0,-1.0,03.05.2023 stoper (90'),Polska,05.05.2023"
