"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country"
"Friedhelm Drotleff,320514321,16.058,,108,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,5,5,-1,-1,-1,,01.04.2023 stoper (90'),Polska"
"Janusz Jewiarz,320514325,17.072,,108,WC 36,32,World Cup - Round III  Matchday 1,02/08/2024,88,10,-1,5,6.5,-1,-1,-1,,03.04.2023 stoper (90'),Polska"
"Leonard Kempczynski,320514326,16.041,,122,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,5.5,3,-1,2.5,2.5,-1,,04.04.2023 skrzydlowy (90'),Polska"
"Kuba Majcherczak,320514331,16.106,,45,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Grzegorz Huntka,320514334,16.081,,45,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,2,-1,-1,-1,,23.03.2023 boczny_obronca (90'),Polska"
"Benjamin Horbinger,320514337,17.023,P,115,WC 37,1,Friendly,20/09/2024,89,1,-1,-1,-1,-1,-1,7,,05.04.2023 napastnik (90'),Polska"
"Amadeusz Bar,320514339,16.029,,73,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,4,4.5,-1,,02.04.2023 skrzydlowy (90'),Polska"
"Jerzy Tkacz,320514344,16.025,,65,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,3.5,-1,4.5,-1,,03.04.2023 boczny_obronca (90'),Polska"
"Gustaw Dawidziak,320514345,16.069,,80,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,4.5,4.5,3.5,-1,4,,02.04.2023 stoper (90'),Polska"
"Przemyslaw Manuszewski,320514346,16.026,,125,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,-1,-1,-1,,--------,Polska"
