"Jacenty Podstawka,326338617,15.044,,15,WC 37,41,World Cup - Semifinals,21/04/2025,90,16,-1,2,-1,3,-1,-1,-1.0,2.0,-1.0,3.0,-1.0,-1.0,14.04.2023 stoper (90'),Polska"
"Marcin Proniewski,328317257,15.074,,2,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,-1,-1,-1,-1,4,-1,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,14.04.2023 skrzydlowy (90'),Polska"
"Krzysztof Mysliwiec,319219584,16.053,,146,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,4,5.5,5.5,6.5,6.5,-1.0,-1.0,5.5,5.5,6.5,-1.0,14.04.2023 boczny_obronca (90'),Polska"
"Bartlomiej Zabrocki,320522315,16.067,H,81,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,3.5,-1,4.5,-1,-1.0,-1.0,3.5,-1.0,4.5,-1.0,27.03.2023 boczny_obronca (90'),Polska"
"Cezary Gnat,318831834,17.102,T,152,WC 36,28,World Cup - Round II  Matchday 3,12/07/2024,88,7,2,4.5,5,4,-1,6.5,2.0,4.0,5.0,-1.0,-1.0,-1.0,11.04.2023 boczny_obronca (90'),Polska"
"Cyryl Jazdzyk,322457465,16.102,U,92,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,3.5,4,-1,4.5,5,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,13.03.2023 boczny_obronca (90'),Polska"
"Grzegorz Brycki,325734375,16.002,Q,5,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,1,-1,-1,-1,2.5,-1,1.0,-1.0,-1.0,-1.0,2.5,-1.0,11.04.2023 skrzydlowy (90'),Polska"
"Grzegorz Kobrzynski,313733064,17.031,,235,WC 37,1,Friendly,20/09/2024,89,1,-1,-1,2.5,4,3.5,4,-1.0,-1.0,2.5,4.0,-1.0,3.5,29.09.2022 napastnik (5'),Polska"
"Grzegorz Szymanowicz,314314089,18.036,H,201,WC 36,20,World Cup - Round I  Matchday 5,24/05/2024,87,16,-1,-1,3.5,4,4.5,5.5,-1.0,-1.0,-1.0,3.0,-1.0,5.5,13.03.2023 pomocnik (90'),Polska"
"Jacek Szostakiewicz,322131084,16.036,,68,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,3,-1,7.5,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,11.04.2023 napastnik (10'),Polska"
"Leopold Arshavin,309465868,18.089,U,222,WC 36,11,Continental Championship  Matchday 9,05/04/2024,87,9,-1,2.5,4,5,6,7,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,11.04.2023 skrzydlowy (90'),Polska"
"Marcin Janczy,319634032,16.064,,137,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,4,4.5,5.5,5,5.5,-1.0,-1.0,-1.0,5.5,-1.0,5.5,11.04.2023 napastnik (80'),Polska"
"Mieczyslaw Frysz,323911001,15.092,,25,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,5,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,11.04.2023 napastnik (90'),Polska"
"Pawel Grygoruk,320133997,16.048,,117,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,3,4,5,-1,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,11.04.2023 napastnik (90'),Polska"
"Przemyslaw Echaust,324520072,15.084,,30,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,5,3.5,-1,3,-1.0,-1.0,5.0,3.5,-1.0,-1.0,11.04.2023 boczny_obronca (90'),Polska"
"Sebastian Foszcz,318782157,16.064,T,101,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,5,-1,6.5,-1.0,-1.0,-1.0,5.0,-1.0,6.5,11.04.2023 pomocnik (90'),Polska"
"Sobieslaw Rozkosz,326844845,15.090,,18,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,-1,4.5,4,-1,-1.0,-1.0,-1.0,4.5,4.0,-1.0,11.04.2023 pomocnik (90'),Polska"
"Walter Dlugaszek,325750899,16.002,,38,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,3,-1,-1,-1,-1,-1,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.04.2023 bramkarz (90'),Polska"
"Wiktor Kociszewski,326338930,15.054,,12,WC 37,38,World Cup - Round V  Matchday 1,11/04/2025,90,14,-1,-1,2.5,-1,3.5,-1,-1.0,-1.0,2.5,-1.0,3.5,-1.0,10.04.2023 skrzydlowy (90'),Polska"
"Zenon Jelonkiewicz,318040873,16.088,Q,130,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,3,6.5,4.5,6,-1.0,-1.0,-1.0,6.5,-1.0,-1.0,11.04.2023 pomocnik (90'),Polska"
"Tomasz Mendel,318678551,16.094,U,111,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,5.5,6.5,-1,-1.0,-1.0,-1.0,-1.0,6.5,-1.0,12.04.2023 skrzydlowy (90'),Polska"
"Henryk Supel,323528621,16.049,,68,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,-1,6,-1,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,12.04.2023 skrzydlowy (90'),Polska"
"Danylo Shpyrka,303690335,18.098,,383,WC 36,9,Continental Championship  Matchday 7,22/03/2024,87,7,-1,4,5,-1,5.5,5,-1.0,4.0,-1.0,-1.0,-1.0,5.0,22.03.2023 stoper (90'),Polska"
"Tomasz Reclaw,326339197,15.095,,33,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,12.04.2023 napastnik (90'),Polska"
"Norbert Majsner,326945598,15.040,,5,WC 38,,Final,,,,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,12.04.2023 pomocnik (90'),Polska"
"Krzysztof Rejowski,307794225,18.051,Q,303,WC 36,18,World Cup - Round I  Matchday 3,10/05/2024,87,14,-1,2.5,-1,2,3,5,-1.0,2.5,-1.0,-1.0,-1.0,-1.0,12.04.2023 stoper (90'),Polska"
"Tomasz Nicia,306490782,18.071,,368,WC 36,14,Continental Championship - Semifinals,22/04/2024,87,12,2,4.5,4,4,-1,4.5,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,12.03.2023 stoper (51'),Polska"
"Pawel Szyszko-Bohusz,307809415,18.092,U,336,WC 36,10,Continental Championship  Matchday 8,29/03/2024,87,8,-1,4,4.5,2,3.5,5.5,-1.0,-1.0,4.5,-1.0,-1.0,-1.0,12.04.2023 boczny_obronca (90'),Polska"
"Benedykt Stosik,279094380,24.021,,812,WC 36,,Final,,,,-1,-1,4,4,5,5.5,-1.0,-1.0,-1.0,4.0,5.0,5.5,06.09.2021 pomocnik (90'),Polska"
"Damian Kordowski,311474286,19.060,P,289,WC 36,,Final,,,,2,6,6,6,7,4.5,-1.0,-1.0,6.0,-1.0,-1.0,4.5,12.02.2023 boczny_obronca (90'),Polska"
"Dariusz Szmytkowski,313940051,17.080,,194,WC 36,33,World Cup - Round III  Matchday 2,05/08/2024,88,11,-1,-1,-1,1,-1,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,05.02.2023 napastnik (90'),Polska"
"Hubert Woznikowski,316818869,17.062,,172,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,4.5,2,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,12.04.2023 bramkarz (90'),Polska"
"Maciej Czernielewski,314254178,17.079,,145,WC 36,33,World Cup - Round III  Matchday 2,05/08/2024,88,11,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,12.04.2023 napastnik (90'),Polska"
"Michal Klys,313650074,18.033,,173,WC 36,21,World Cup - Round I  Matchday 6,31/05/2024,88,1,-1,2.5,2.5,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,12.04.2023 napastnik (90'),Polska"
"Nils Prewein,314342341,17.022,Q,82,WC 37,2,Friendly,27/09/2024,89,2,-1,-1,-1,3,-1,-1,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,12.04.2023 pomocnik (90'),Polska"
"Remigiusz Ciszczon,324723606,15.108,,19,WC 37,27,World Cup - Round II  Matchday 2,17/02/2025,90,7,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Robert Kasprzycki,311896166,18.085,P,217,WC 36,11,Continental Championship  Matchday 9,05/04/2024,87,9,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,25.12.2022 pomocnik (90'),Polska"
"Rudolf Steplowski,318820108,17.024,,120,WC 37,2,Friendly,27/09/2024,89,2,-1,-1,-1,3.5,-1,-1,-1.0,-1.0,-1.0,3.5,-1.0,-1.0,12.04.2023 pomocnik (90'),Polska"
"Jozef Jesionek,322557668,16.073,P,71,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,3.5,-1,5,5,7,-1.0,-1.0,-1.0,5.0,-1.0,7.0,12.04.2023 napastnik (90'),Polska"
"Ferdynand Dymkowski,319627376,16.059,,67,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,2.5,3.5,3.5,5,5,-1.0,-1.0,3.5,3.5,5.0,5.0,12.04.2023 napastnik (90'),Polska"
"Zdzislaw Kajdas,323683764,16.061,H,40,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,4.5,-1,5.5,5,5,-1.0,4.5,-1.0,5.0,5.0,5.0,12.04.2023 stoper (90'),Polska"
"Leon Rawa,327019527,15.099,,11,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,12.04.2023 napastnik (90'),Polska"
"Janek Doroba,325863146,15.102,,32,WC 37,28,World Cup - Round II  Matchday 3,21/02/2025,90,7,-1,3.5,-1,4,-1,6,-1.0,3.5,-1.0,-1.0,-1.0,6.0,12.04.2023 stoper (90'),Polska"
"Piotr Matukiewicz,323462458,15.085,Q,60,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,3.5,4,3.5,4,4.5,-1.0,3.5,3.5,-1.0,3.5,-1.0,12.04.2023 boczny_obronca (90'),Polska"
"Krzysztof Podlesny,324098152,16.088,,46,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,1.5,2.5,3,4,4.5,-1.0,1.5,2.5,3.0,-1.0,4.5,12.04.2023 boczny_obronca (90'),Polska"
"Ferdynand Siatkowski,314400015,17.089,,180,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,5,3,3,1.5,1.5,-1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.04.2023 bramkarz (90'),Polska"
"Roman Samsonowicz,321344739,17.025,,96,WC 37,2,Friendly,27/09/2024,89,2,-1,2,-1,1,-1,-1,-1.0,2.0,-1.0,1.0,-1.0,-1.0,12.04.2023 stoper (90'),Polska"
"Szymon Ciechowski,309070550,18.082,T,284,WC 36,12,Continental Championship  Matchday 10,12/04/2024,87,10,-1,3.5,4,6.5,5,6,-1.0,3.5,4.0,4.5,-1.0,-1.0,12.04.2023 pomocnik (90'),Polska"
"Piotr Gawarecki,319504458,16.092,Q,144,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,3.5,4,4.5,5,4,-1.0,3.0,-1.0,4.5,-1.0,-1.0,12.04.2023 pomocnik (90'),Polska"
"Ludwik Staszel,308369848,18.065,,340,WC 36,15,Continental Championship - Finals,26/04/2024,87,12,-1,3,3.5,3,4.5,4.5,-1.0,3.0,-1.0,-1.0,-1.0,4.5,29.03.2023 pomocnik (70'),Polska"
"Gilbert Pyrek,320049531,16.093,,137,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,2.5,2.5,3,3.5,4.5,-1.0,-1.0,2.5,3.0,3.5,4.5,30.03.2023 pomocnik (90'),Polska"
"Seweryn Cwiertnia,321291294,16.060,P,81,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,3.5,3.5,3.5,3.5,4,-1.0,-1.0,3.5,3.5,3.5,4.0,29.03.2023 skrzydlowy (90'),Polska"
"Franciszek Labinski,310933711,17.087,,277,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,-1,3,2.5,3.5,3,5,-1.0,-1.0,-1.0,3.5,3.0,5.0,04.02.2023 pomocnik (90'),Polska"
"Aleksander Proksza,320489187,16.078,,83,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,2.5,-1,4,5,4,-1.0,-1.0,-1.0,4.0,-1.0,4.0,07.04.2023 napastnik (90'),Polska"
"Bogumil Madrak,320133609,16.046,,117,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,-1,4.5,5,4.5,5,-1.0,-1.0,4.5,5.0,-1.0,5.0,07.04.2023 pomocnik (90'),Polska"
"Bohdan Clapinski,313733100,17.063,,196,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,4.5,1.5,2,1,1.5,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,07.04.2023 bramkarz (90'),Polska"
"Borymyr Borzych,316727423,17.065,,187,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,-1,2,2,1,2,0.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,07.04.2023 pomocnik (90'),Polska"
"Grzegorz Biegajlo,320456008,16.035,T,123,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,3.5,4,4,5,4,-1.0,3.5,4.0,-1.0,-1.0,-1.0,07.04.2023 boczny_obronca (59'),Polska"
