Mieczyslaw Frysz,323911001,15.095,,28,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,5,-1,5,4.5,-1.0,-1.0,-1.0,-1.0,5.0,4.5,17.04.2023 skrzydlowy (90'),Polska,17.04.2023
Pawel Grygoruk,320133997,16.051,,120,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,3,4,5,-1,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,17.04.2023 napastnik (90'),Polska,17.04.2023
Przemyslaw Echaust,324520072,15.087,,33,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,5,3.5,-1,3,-1.0,-1.0,5.0,3.5,-1.0,-1.0,17.04.2023 boczny_obronca (90'),Polska,17.04.2023
Sebastian Foszcz,318782157,16.067,T,104,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,5,-1,6.5,-1.0,-1.0,-1.0,5.0,-1.0,6.5,17.04.2023 pomocnik (90'),Polska,17.04.2023
Sobieslaw Rozkosz,326844845,15.093,,21,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,-1,4.5,4,-1,-1.0,-1.0,-1.0,4.5,4.0,-1.0,17.04.2023 pomocnik (90'),Polska,17.04.2023
Walter Dlugaszek,325750899,16.005,,41,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,3,-1,-1,-1,-1,-1,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.04.2023 bramkarz (90'),Polska,17.04.2023
Wiktor Kociszewski,326338930,15.057,,15,WC 37,38,World Cup - Round V  Matchday 1,11/04/2025,90,14,-1,-1,2.5,-1,3.5,-1,-1.0,-1.0,2.5,-1.0,3.5,-1.0,10.04.2023 skrzydlowy (90'),Polska,17.04.2023
Zenon Jelonkiewicz,318040873,16.091,Q,133,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,3.5,6.5,4.5,6,-1.0,-1.0,3.5,6.5,-1.0,-1.0,17.04.2023 boczny_obronca (90'),Polska,17.04.2023
Tomasz Mendel,318678551,16.097,U,114,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,5.5,6.5,-1,-1.0,-1.0,-1.0,-1.0,6.5,-1.0,12.04.2023 skrzydlowy (90'),Polska,17.04.2023
Henryk Supel,323528621,16.052,,71,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,-1,6,-1,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,12.04.2023 skrzydlowy (90'),Polska,17.04.2023
Danylo Shpyrka,303690335,18.101,,386,WC 36,9,Continental Championship  Matchday 7,22/03/2024,87,7,-1,4,5,-1,5.5,5,-1.0,4.0,-1.0,-1.0,-1.0,5.0,22.03.2023 stoper (90'),Polska,17.04.2023
Tomasz Reclaw,326339197,15.098,,36,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,12.04.2023 napastnik (90'),Polska,17.04.2023
Norbert Majsner,326945598,15.043,,8,WC 38,,Final,,,,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,12.04.2023 pomocnik (90'),Polska,17.04.2023
Krzysztof Rejowski,307794225,18.054,Q,306,WC 36,18,World Cup - Round I  Matchday 3,10/05/2024,87,14,-1,2.5,-1,2,3,5,-1.0,2.5,-1.0,-1.0,-1.0,-1.0,12.04.2023 stoper (90'),Polska,17.04.2023
Tomasz Nicia,306490782,18.074,,371,WC 36,14,Continental Championship - Semifinals,22/04/2024,87,12,2,4.5,4,4,-1,4.5,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,12.03.2023 stoper (51'),Polska,17.04.2023
Benedykt Stosik,279094380,24.024,,815,WC 36,,Final,,,,-1,-1,4,4,5,5.5,-1.0,-1.0,-1.0,4.0,5.0,5.5,06.09.2021 pomocnik (90'),Polska,17.04.2023
Damian Kordowski,311474286,19.063,P,292,WC 36,,Final,,,,2,6,6,6,7,4.5,-1.0,-1.0,6.0,-1.0,-1.0,4.5,12.02.2023 boczny_obronca (90'),Polska,17.04.2023
Dariusz Szmytkowski,313940051,17.083,,197,WC 36,33,World Cup - Round III  Matchday 2,05/08/2024,88,11,-1,-1,-1,1,-1,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,05.02.2023 napastnik (90'),Polska,17.04.2023
Hubert Woznikowski,316818869,17.065,,175,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,4.5,2,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,12.04.2023 bramkarz (90'),Polska,17.04.2023
Maciej Czernielewski,314254178,17.082,,148,WC 36,33,World Cup - Round III  Matchday 2,05/08/2024,88,11,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,12.04.2023 napastnik (90'),Polska,17.04.2023
