"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"Emanuel Cylinski,311567031,18.013,H,296,WC 36,33,World Cup - Round III  Matchday 2,05/08/2024,88,11,-1,-1,-1,4.5,-1,-1,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,30.03.2023 pomocnik (90'),Polska,01.06.2023"
"Florian Gunia,310240353,18.025,U,339,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,-1,3,4,-1,6,-1,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,30.03.2023 boczny_obronca (90'),Polska,01.06.2023"
"Gabriel Loba,295400780,21.016,P,611,WC 36,,Final,,,,-1,-1,3,-1,-1,-1,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,01.09.2022 boczny_obronca (90'),Polska,01.06.2023"
"Jozef Paprotna,310649423,18.054,Q,325,WC 36,25,World Cup - Round I  Matchday 10,28/06/2024,88,5,-1,-1,3,4.5,3.5,-1,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,30.03.2023 skrzydlowy (90'),Polska,01.06.2023"
"Krzysztof Ociesa,312097362,19.065,,311,WC 36,4,Continental Championship  Matchday 2,26/02/2024,87,4,-1,2.5,-1,-1,-1,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,23.03.2023 napastnik (90'),Polska,01.06.2023"
"Leslaw Pospiech,313262425,18.050,U,277,WC 36,25,World Cup - Round I  Matchday 10,28/06/2024,88,5,-1,5.5,5,-1,-1,-1,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,30.03.2023 boczny_obronca (90'),Polska,01.06.2023"
"Lucjan Taraszka,309024827,19.057,H,346,WC 36,6,Continental Championship  Matchday 4,04/03/2024,87,5,-1,-1,-1,6,-1,-1,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,30.03.2023 pomocnik (90'),Polska,01.06.2023"
"Marcin Kawalek,295400782,21.024,,611,WC 36,,Final,,,,-1,-1,-1,-1,3,-1,-1.0,-1.0,-1.0,-1.0,2.5,-1.0,22.09.2022 skrzydlowy (46'),Polska,01.06.2023"
"Mariusz Mirga,318008227,18.015,,214,WC 36,33,World Cup - Round III  Matchday 2,05/08/2024,88,11,-1,-1,3,5,4,-1,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,30.03.2023 skrzydlowy (90'),Polska,01.06.2023"
"Mieczyslaw Grota,295400769,20.056,,611,WC 36,,Final,,,,-1,-1,2,2.5,2.5,4.5,-1.0,-1.0,2.0,-1.0,2.5,-1.0,08.12.2022 skrzydlowy (90'),Polska,01.06.2023"
